Current,Next,I_next,I_current
Pennsylvania Railroad,Kentucky Ave,21,15
Kentucky Ave,B & O Railroad,25,21
B & O Railroad,Go To Jail,30,25
Go To Jail,Jail,10,30
Jail,Pennsylvania Railroad,15,10
Pennsylvania Railroad,Illinois Ave,24,15
Illinois Ave,Community Chest #3,33,24
Community Chest #3,Go,0,33
Go,Connecticut Ave,9,0
Connecticut Ave,Pennsylvania Railroad,15,9
Pennsylvania Railroad,Kentucky Ave,21,15
Kentucky Ave,Marvin Gardens,29,21
Marvin Gardens,Luxury Tax,38,29
Luxury Tax,Community Chest #1,2,38
Community Chest #1,Connecticut Ave,9,2
Connecticut Ave,Community Chest #2,17,9
Community Chest #2,Illinois Ave,24,17
Illinois Ave,Pacific Ave,31,24
Pacific Ave,Boardwalk,39,31
Boardwalk,Oriental Ave,6,39
Oriental Ave,Jail,10,6
Jail,Free Parking,20,10
Free Parking,Water Works,28,20
Water Works,North Carolina Ave,32,28
North Carolina Ave,Chance #3,36,32
Chance #3,Chance #1,7,36
Chance #1,Illinois Ave,24,7
Illinois Ave,Pennsylvania Ave,34,24
Pennsylvania Ave,Baltic Ave,3,34
Baltic Ave,Electric Company,12,3
Electric Company,Community Chest #2,17,12
Community Chest #2,Go,0,17
Go,Baltic Ave,3,0
Baltic Ave,Pennsylvania Railroad,15,3
Pennsylvania Railroad,Chance #2,22,15
Chance #2,Community Chest #3,33,22
Community Chest #3,Go,0,33
Go,Reading Railroad,5,0
Reading Railroad,St. Charles Place,11,5
St. Charles Place,Community Chest #2,17,11
Community Chest #2,Ventnor Ave,27,17
Ventnor Ave,Go To Jail,30,27
Go To Jail,Jail,10,30
Jail,Tennessee Ave,18,10
Tennessee Ave,Ventnor Ave,27,18
Ventnor Ave,Boardwalk,39,27
Boardwalk,Jail,10,39
Jail,St. James Place,16,10
St. James Place,New York Ave,19,16
New York Ave,Ventnor Ave,27,19
Ventnor Ave,Go To Jail,30,27
Go To Jail,Jail,10,30
Jail,St. James Place,16,10
St. James Place,Indiana Ave,23,16
Indiana Ave,Pennsylvania Ave,34,23
Pennsylvania Ave,Baltic Ave,3,34
Baltic Ave,St. Charles Place,11,3
St. Charles Place,Virginia Ave,14,11
Virginia Ave,Indiana Ave,23,14
Indiana Ave,Community Chest #3,33,23
Community Chest #3,Community Chest #1,2,33
Community Chest #1,Oriental Ave,6,2
Oriental Ave,St. James Place,16,6
St. James Place,Indiana Ave,23,16
Indiana Ave,Water Works,28,23
Water Works,Pennsylvania Ave,34,28
Pennsylvania Ave,Go,0,34
Go,Vermont Ave,8,0
Vermont Ave,Virginia Ave,14,8
Virginia Ave,Illinois Ave,24,14
Illinois Ave,Pennsylvania Ave,34,24
Pennsylvania Ave,Luxury Tax,38,34
Luxury Tax,Oriental Ave,6,38
Oriental Ave,Virginia Ave,14,6
Virginia Ave,Tennessee Ave,18,14
Tennessee Ave,Water Works,28,18
Water Works,Chance #3,36,28
Chance #3,Income Tax,4,36
Income Tax,Jail,10,4
Jail,Pennsylvania Railroad,15,10
Pennsylvania Railroad,Free Parking,20,15
Free Parking,Atlantic Ave,26,20
Atlantic Ave,Community Chest #3,33,26
Community Chest #3,Park Place,37,33
Park Place,Chance #1,7,37
Chance #1,St. Charles Place,11,7
St. Charles Place,Free Parking,20,11
Free Parking,Water Works,28,20
Water Works,Pennsylvania Ave,34,28
Pennsylvania Ave,Oriental Ave,6,34
Oriental Ave,St. James Place,16,6
St. James Place,Kentucky Ave,21,16
Kentucky Ave,Go To Jail,30,21
Go To Jail,Jail,10,30
Jail,Community Chest #2,17,10
Community Chest #2,Illinois Ave,24,17
Illinois Ave,Pacific Ave,31,24
Pacific Ave,Luxury Tax,38,31
Luxury Tax,Oriental Ave,6,38
Oriental Ave,Virginia Ave,14,6
Virginia Ave,New York Ave,19,14
New York Ave,Go To Jail,30,19
Go To Jail,Jail,10,30
Jail,Community Chest #2,17,10
Community Chest #2,Illinois Ave,24,17
Illinois Ave,Pacific Ave,31,24
Pacific Ave,Luxury Tax,38,31
Luxury Tax,Vermont Ave,8,38
Vermont Ave,St. James Place,16,8
St. James Place,Chance #2,22,16
Chance #2,B & O Railroad,25,22
B & O Railroad,Chance #3,36,25
Chance #3,Jail,10,36
Jail,St. James Place,16,10
St. James Place,Kentucky Ave,21,16
Kentucky Ave,Go To Jail,30,21
Go To Jail,Jail,10,30
Jail,Community Chest #2,17,10
Community Chest #2,Ventnor Ave,27,17
Ventnor Ave,Community Chest #3,33,27
Community Chest #3,Go,0,33
Go,St. Charles Place,11,0
St. Charles Place,Community Chest #2,17,11
Community Chest #2,Jail,10,17
Jail,Free Parking,20,10
Free Parking,Water Works,28,20
Water Works,Park Place,37,28
Park Place,Reading Railroad,5,37
Reading Railroad,Virginia Ave,14,5
Virginia Ave,B & O Railroad,25,14
B & O Railroad,Short Line,35,25
Short Line,Income Tax,4,35
Income Tax,St. Charles Place,11,4
St. Charles Place,Indiana Ave,23,11
Indiana Ave,North Carolina Ave,32,23
North Carolina Ave,Short Line,35,32
Short Line,Boardwalk,39,35
Boardwalk,Chance #1,7,39
Chance #1,Jail,10,7
Jail,Tennessee Ave,18,10
Tennessee Ave,Indiana Ave,23,18
Indiana Ave,Atlantic Ave,26,23
Atlantic Ave,Short Line,35,26
Short Line,Go,0,35
Go,Connecticut Ave,9,0
Connecticut Ave,Free Parking,20,9
Free Parking,Water Works,28,20
Water Works,Luxury Tax,38,28
Luxury Tax,Jail,10,38
Jail,Community Chest #2,17,10
Community Chest #2,B & O Railroad,25,17
B & O Railroad,Pennsylvania Ave,34,25
Pennsylvania Ave,Income Tax,4,34
Income Tax,Connecticut Ave,9,4
Connecticut Ave,Tennessee Ave,18,9
Tennessee Ave,Illinois Ave,24,18
Illinois Ave,Pennsylvania Ave,34,24
Pennsylvania Ave,Park Place,37,34
Park Place,Oriental Ave,6,37
Oriental Ave,Virginia Ave,14,6
Virginia Ave,Indiana Ave,23,14
Indiana Ave,Water Works,28,23
Water Works,Chance #3,36,28
Chance #3,Community Chest #3,33,36
Community Chest #3,Community Chest #1,2,33
Community Chest #1,Jail,10,2
Jail,Virginia Ave,14,10
Virginia Ave,Indiana Ave,23,14
Indiana Ave,Marvin Gardens,29,23
Marvin Gardens,Boardwalk,39,29
Boardwalk,Baltic Ave,3,39
Baltic Ave,Electric Company,12,3
Electric Company,Community Chest #2,17,12
Community Chest #2,Free Parking,20,17
Free Parking,B & O Railroad,25,20
B & O Railroad,Ventnor Ave,27,25
Ventnor Ave,Park Place,37,27
Park Place,Mediterranean Ave,1,37
Mediterranean Ave,Chance #1,7,1
Chance #1,Income Tax,4,7
Income Tax,Connecticut Ave,9,4
Connecticut Ave,New York Ave,19,9
New York Ave,Atlantic Ave,26,19
Atlantic Ave,Park Place,37,26
Park Place,Income Tax,4,37
Income Tax,Pennsylvania Railroad,15,4
Pennsylvania Railroad,Kentucky Ave,21,15
Kentucky Ave,Marvin Gardens,29,21
Marvin Gardens,Chance #3,36,29
Chance #3,Community Chest #1,2,36
Community Chest #1,St. Charles Place,11,2
St. Charles Place,Tennessee Ave,18,11
Tennessee Ave,Chance #2,22,18
Chance #2,Reading Railroad,5,22
Reading Railroad,Electric Company,12,5
Electric Company,Free Parking,20,12
Free Parking,Water Works,28,20
Water Works,Community Chest #3,33,28
Community Chest #3,Jail,10,33
Jail,Virginia Ave,14,10
Virginia Ave,Tennessee Ave,18,14
Tennessee Ave,B & O Railroad,25,18
B & O Railroad,Community Chest #3,33,25
Community Chest #3,Chance #3,36,33
